"Section","Island","Start km","End km","Length km","Official start km","Official end km"
"Rangiriri to Huntly","North","729.1","750.5","21.4","729.1","750.5"
"Hakarimata Walkway","North","750.5","762.8","12.3","750.5","762.8"
"Ngāruawāhia to Hamilton - Te Awa (The River)","North","762.8","785.4","22.6","762.8","785.4"
"Hamilton City","North","785.4","793.9","8.5","785.4","793.9"
"Waipā Walk","North","793.9","822.2","28.3","793.9","822.2"
"Pirongia Traverse","North","822.2","838.4","16.2","822.2","838.4"
"Pirongia to Waitomo","North","838.4","883.1","44.8","838.4","883.1"
"Pehitawa Track","North","883.1","897.9","14.8","883.1","897.9"
"Te Kūiti to Pureora","North","897.9","955.4","57.6","897.9","955.4"
"Pureora Forest - The Timber Trail","North","955.4","1060.2","104.7","955.4","1060.2"
"42 Traverse","North","1060.2","1133.3","73.2","1060.2","1133.3"
"Tongariro Alpine Crossing","North","1133.3","1171.7","38.4","1133.3","1171.7"
"Mangatepopo to National Park","North","1171.7","1193.1","21.4","1171.7","1193.1"
"National Park to Whanganui River","North","1193.1","1281.8","88.7","1193.1","1281.8"
"Whanganui River - via Whanganui River","North","1281.8","1403.6","121.8","1281.8","1403.6"
"Whanganui to Bulls","North","1403.6","1462.1","58.5","1403.6","1462.1"
"Bulls to Feilding","North","1462.1","1484.9","22.8","1462.1","1484.9"
"Feilding to Palmerston North","North","1484.9","1505","20.1","1484.9","1505"
"Palmerston North to Poads Road","North","1505","1573.2","68.2","1505","1573.2"
"Tararua Ranges","North","1573.2","1620.6","47.4","1573.2","1620.6"
"Pukeatua Track","North","1620.6","1646.7","26.1","1620.6","1646.7"
"Kāpiti Coast","North","1646.7","1668.2","21.6","1646.7","1668.2"
"Escarpment Track","North","1668.2","1678.6","10.4","1668.2","1678.6"
"Ara Harakeke (Flax Pathway)","North","1678.6","1692","13.4","1678.6","1692"
"Rangituhi/ Colonial Knob Walk","North","1692","1715.2","23.2","1692","1715.2"
"Ngaio","North","1715.2","1723.2","8.1","1715.2","1723.2"
"Wellington City","North","1723.2","1728.8","5.5","1723.2","1728.8"
"Wellington South","North","1728.8","1739","10.2","1728.8","1739"
"Queen Charlotte Track","South","1739","1808.6","69.6","1739","1808.6"
"Anakiwa to Pelorus Bridge","South","1808.6","1850.2","41.6","1808.6","1850.2"
"Pelorus River Track","South","1850.2","1894.8","44.6","1850.2","1894.8"
"Richmond Alpine Track","South","1894.8","1990.5","95.7","1894.8","1990.5"
"Waiau Pass Track","South","1990.5","2109.4","118.9","1990.5","2109.4"
"Boyle to Arthur's Pass","South","2109.4","2224.8","115.5","2109.4","2224.8"
